temp,c
33.32,10.6662
33.32,11.2161
33.32,11.2594
33.32,11.2597
33.32,11.2706
33.32,11.3577
33.31,-1.62748
33.31,2.11349
33.31,4.21389
33.31,4.89851
33.31,5.36304
33.31,11.6739
33.3,-1.37332
33.3,-0.397025
33.3,11.3281
33.3,11.6281
33.3,11.6636
33.299,11.4136
33.298,11.409
33.29,10.1199
33.29,11.0873
33.29,11.2654
33.29,11.3235
33.29,11.3808
33.29,11.3898
33.284,11.3863
33.28,7.38192
33.28,8.73558
33.28,11.4608
33.279,10.9731
33.279,11.49
33.27,2.87876
33.27,11.2907
33.26,7.35536
33.25,2.54287
33.25,11.2582
33.25,11.5688
33.24,3.72583
33.24,11.2845
33.24,11.4031
33.23,-1.62153
33.23,-1.57472
33.23,1.65472
33.23,7.19946
33.23,7.34497
33.23,11.1799
33.23,11.2496
33.23,11.2956
33.23,11.4701
33.22,-0.461071
33.22,2.53318
33.22,7.93951
33.22,10.7417
33.22,10.9052
33.22,10.9606
33.22,11.1423
33.22,11.1808
33.22,11.6136
33.214,11.4044
33.21,4.2859
33.21,9.68632
33.21,10.8203
33.21,11.1868
33.21,11.2246
33.21,11.6659
33.193,11.4487
33.19,3.12412
33.19,7.4148
33.19,10.6188
33.19,10.8419
33.19,10.8493
33.19,11.0559
33.19,11.109
33.19,11.4942
33.19,11.5462
33.19,11.593
33.183,10.7079
33.181,-0.938665
33.17,-1.03418
33.17,5.36453
33.17,11.5441
33.17,11.5659
33.16,6.99037
33.16,10.747
33.16,10.8967
33.16,11.3921
33.16,11.4299
33.16,11.5526
33.16,11.6204
33.15,9.89085
33.15,11.1257
33.15,11.2414
33.15,11.3755
33.15,11.4683
33.15,11.4721
33.15,11.5716
33.15,11.5765
33.149,10.255
33.14,-0.743499
33.14,11.0166
33.14,11.055
33.14,11.066
33.14,11.2669
33.14,11.2794
33.14,11.3982
33.14,11.6731
33.13,3.50353
33.13,7.82631
33.13,11.0906
33.13,11.2189
33.13,11.2391
33.13,11.5518
33.13,11.5856
33.12,0.0364515
33.12,2.12308
33.12,7.40261
33.12,10.8961
33.12,11.4668
33.12,11.6191
33.116,8.74003
33.113,11.5511
33.11,-1.55322
33.11,1.01898
33.11,5.28213
33.11,11.0512
33.11,11.3044
33.11,11.5015
33.11,11.5443
33.11,11.5872
33.1,0.804524
33.1,4.5023
33.1,4.6775
33.1,9.58131
33.1,11.0846
33.1,11.1279
33.1,11.3132
33.1,11.6438
33.091,11.5636
33.09,9.87108
33.09,10.7649
33.09,11.2428
33.09,11.4605
33.09,11.6651
33.086,11.4828
33.08,-1.41746
33.08,-0.637663
33.08,9.14446
33.07,2.1824
33.07,10.985
33.07,11.2032
33.07,11.3032
33.07,11.3996
33.07,11.4251
33.07,11.5203
33.06,8.07189
33.06,8.31256
33.06,11.2406
33.06,11.4322
33.06,11.6196
33.06,11.677
33.057,3.56462
33.056,6.50129
33.054,5.88829
33.05,7.87384
33.05,11.1873
33.05,11.54
33.043,11.2881
33.041,11.5151
33.04,-1.36743
33.04,-0.396138
33.04,2.19038
33.04,9.71921
33.04,10.7998
33.04,11.4376
33.04,11.6509
33.04,11.6529
33.031,11.4261
33.03,-0.175644
33.03,6.51814
33.03,11.1306
33.03,11.479
33.021,11.4968
33.02,6.30224
33.02,9.53379
33.02,11.2563
33.02,11.342
33.02,11.5457
33.02,11.652
